,gaze_angle_x,gaze_angle_y
count,1912.0,1912.0
mean,0.07159728033472804,0.3022505230125523
std,0.17584231897876368,0.2227733934392198
min,-0.443,-0.602
25%,0.0,0.0
50%,0.0,0.4055
75%,0.12325,0.476
max,0.897,0.81
